date,taux_h
2024-12-20,5.25
2024-11-11,5.375
2024-09-20,5.625
2023-07-28,5.875
2023-05-05,5.75
2022-12-16,5.625
2022-11-04,5.375
2022-09-23,5.125
2019-11-01,5
2018-09-28,5.125
2008-11-10,5
2008-03-20,5.25
2008-02-01,5.75
2008-01-24,6
2007-12-13,6.75
2007-11-12,7
2007-11-02,7.25
2007-09-20,7.5
2006-11-07,7.75
2006-03-30,8
2005-12-15,7.75
2005-11-03,7.5
2005-09-23,7
2005-08-11,6.75
2005-07-22,6.5
2005-07-05,6.25
2005-05-23,5.75
2005-03-21,5.25
2004-11-12,5
2004-09-23,5.125
2002-11-08,5
2001-12-13,5.125
2001-11-08,5.25
2001-10-04,5.5
2001-09-19,6
2001-08-24,6.5
2001-07-03,6.75
2001-05-21,7
2001-04-23,7.5
2001-03-26,8
2001-02-05,8.5
2001-01-08,9
2000-05-22,9.5
2000-03-27,9
2000-02-14,8.75
